"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","13341","Авторизаиця с недействительными учетными данными","tests","2026-01-01","passed","2026-01-01","","test_login","",""
"","1543","Авторизаиця с корректными учетными данными","tests","2026-01-01","passed","2026-01-01","","test_login","",""
"","1647","Авторизаиця с корректными учетными данными","tests","2026-01-01","passed","2026-01-01","","test_login","",""
